,sac_t_y_landing,sac_y_landing,time_independant_sac,trial_sequence
142,-543.0,3.9115313174348705,1.0,6
157,-525.0,4.940371939342402,1.0,7
164,-524.0,4.625763521808574,1.0,6
168,-477.0,5.65037703504815,1.0,1
285,-476.0,3.6546123625963443,1.0,6
197,-466.0,4.562299359627575,1.0,2
118,-465.0,3.3615304955468472,1.0,6
53,-456.0,4.005766480605459,1.0,6
152,-454.0,4.606142693765585,1.0,2
226,-444.0,4.291526057351518,1.0,7
426,-437.0,3.643836759033822,1.0,6
105,-417.0,4.816147789471334,1.0,1
493,-406.0,2.4365358378190014,1.0,6
690,-404.0,4.493068716841117,1.0,7
429,-389.0,3.6522991952499693,1.0,6
283,-352.0,4.224991370175751,1.0,4
678,-349.0,4.15307299065884,1.0,7
311,-347.0,3.339221930773407,1.0,3
75,-343.0,4.441145734751274,1.0,7
99,-335.0,4.880760316445281,1.0,7
169,-335.0,5.3080681415195,1.0,1
24,-334.0,3.256527947693974,1.0,5
543,-332.0,3.7334538063919,1.0,6
562,-330.0,3.894606445002572,1.0,1
156,-327.0,5.2711396527798975,1.0,2
50,-324.0,4.22883569057939,1.0,7
47,-318.0,4.618457669265611,1.0,2
425,-313.0,3.3680707715611766,1.0,7
431,-309.0,2.853841854739568,1.0,5
43,-303.0,3.387300592459611,1.0,4
38,-299.0,3.943067894953094,1.0,6
6,-294.0,4.04229574332027,1.0,7
417,-290.0,3.5138379096770533,1.0,3
813,-290.0,3.038451422916631,1.0,7
144,-285.0,4.641531810567685,1.0,6
586,-285.0,4.170372432475217,1.0,1
262,-281.0,5.136530906490859,1.0,1
383,-279.0,2.322688065485663,1.0,4
637,-274.0,3.573457751454413,1.0,6
81,-274.0,2.83961293791796,1.0,5
282,-273.0,3.631921009558586,1.0,3
179,-272.0,5.5565246601418785,1.0,1
238,-270.0,3.990372761230427,1.0,5
158,-263.0,3.305380404789049,1.0,6
333,-261.0,4.0646125269739475,1.0,6
650,-257.0,4.320757686403606,1.0,2
288,-256.0,2.7476909420937465,1.0,3
742,-253.0,3.4088353618241802,1.0,2
691,-249.0,3.966150255135405,1.0,7
112,-246.0,3.566917475440085,1.0,5
119,-244.0,4.20652712580595,1.0,6
636,-244.0,4.580372596852822,1.0,1
249,-243.0,3.042303962200508,1.0,5
145,-240.0,4.4657592479908494,1.0,2
495,-237.0,3.5930703606171646,1.0,6
260,-234.0,3.2476827232135084,1.0,5
382,-232.0,3.3696101434986785,1.0,2
19,-225.0,3.3911449128632505,1.0,4
541,-225.0,3.6869145166431982,1.0,3
796,-224.0,2.5303799938450364,1.0,4
424,-224.0,4.852294263921827,1.0,2
73,-220.0,4.184609568177063,1.0,1
135,-220.0,4.296917968572899,1.0,7
661,-217.0,3.559994411161438,1.0,2
137,-212.0,3.6561435156536084,1.0,4
139,-211.0,3.1326865860872193,1.0,6
122,-211.0,4.9461466388280995,1.0,1
309,-210.0,3.900372925608031,1.0,5
755,-210.0,3.597305688165357,1.0,7
113,-208.0,2.6873055237877534,1.0,7
120,-208.0,3.3203831170195275,1.0,2
392,-203.0,3.816913365999967,1.0,6
94,-201.0,3.693837580921846,1.0,1
507,-201.0,3.318452737937468,1.0,2
552,-201.0,3.693072004393213,1.0,3
243,-201.0,3.7922998527603893,1.0,4
741,-197.0,2.196533536532534,1.0,5
203,-197.0,3.15037703504815,1.0,5
688,-196.0,3.6880711003163866,1.0,5
513,-191.0,4.4603755556497084,1.0,7
563,-190.0,4.547679435661414,1.0,7
818,-190.0,3.08499071266533,1.0,3
519,-189.0,2.414992849574194,1.0,5
71,-188.0,3.4734561076783654,1.0,3
509,-188.0,3.1626837916679387,1.0,4
21,-187.0,4.269608499722631,1.0,7
411,-184.0,3.6688412794179524,1.0,2
66,-184.0,2.8619215026914,1.0,6
525,-183.0,3.49076376837498,1.0,6
423,-183.0,5.120371610587194,1.0,7
167,-181.0,4.859225547080712,1.0,1
281,-179.0,3.565760891766897,1.0,4
28,-174.0,3.456914023510384,1.0,6
399,-173.0,3.8549902195325174,1.0,7
538,-172.0,4.268842923194,1.0,1
599,-170.0,3.118074881001296,1.0,4
744,-170.0,2.97307331941405,1.0,6
410,-168.0,4.561525564218704,1.0,2
407,-167.0,3.872680668493449,1.0,4
33,-165.0,4.435762042410131,1.0,3
3,-163.0,2.894223656738256,1.0,4
760,-161.0,2.533458737720043,1.0,5
694,-161.0,3.645767138115879,1.0,4
831,-159.0,2.1296078422122133,1.0,6
611,-158.0,3.932300510270809,1.0,3
117,-157.0,4.810764097130191,1.0,1
172,-155.0,1.8157650012070157,1.0,5
701,-154.0,4.079224232059873,1.0,1
581,-153.0,4.2292184788437055,1.0,2
833,-153.0,4.27537498032809,1.0,1
655,-150.0,2.728461121195312,1.0,4
530,-149.0,4.061150994834626,1.0,6
697,-149.0,4.102298373361945,1.0,7
825,-148.0,3.2073009212148205,1.0,6
68,-148.0,2.3311505017018104,1.0,6
797,-148.0,3.4811447484856446,1.0,2
836,-145.0,2.5115329612109183,1.0,6
573,-142.0,2.965767466871087,1.0,3
279,-140.0,4.3696101434986785,1.0,7
628,-140.0,2.9034516694830392,1.0,4
123,-139.0,3.212684613555962,1.0,3
284,-138.0,3.0865300846028347,1.0,4
286,-138.0,3.1646141707499975,1.0,3
532,-137.0,3.4180715934492003,1.0,2
598,-135.0,4.163840375341125,1.0,3
738,-135.0,3.2526836272903346,1.0,5
40,-135.0,3.5507663984166573,1.0,7
837,-133.0,3.215380569166653,1.0,1
271,-133.0,4.508071429071594,1.0,7
642,-133.0,3.088843251949208,1.0,4
488,-132.0,3.2269135303775704,1.0,4
58,-132.0,1.4276906133385343,1.0,5
200,-131.0,4.433839882208311,1.0,2
304,-131.0,3.4815275367499616,1.0,3
26,-130.0,3.6561435156536084,1.0,2
539,-130.0,3.784228423688795,1.0,2
263,-124.0,4.233836594656216,1.0,7
714,-123.0,4.044608910666644,1.0,1
832,-123.0,3.125763521808574,1.0,6
737,-120.0,4.177295496753863,1.0,1
195,-119.0,3.367305195032544,1.0,4
663,-119.0,5.167684695744764,1.0,1
171,-117.0,3.6457589192356408,1.0,6
469,-116.0,3.0280668264986623,1.0,5
242,-116.0,4.7661469675833095,1.0,2
20,-115.0,3.7030655936666266,1.0,3
783,-114.0,2.820383117019528,1.0,6
526,-114.0,1.7473081538294308,1.0,5
323,-113.0,2.860382130753898,1.0,6
194,-111.0,4.002687736730453,1.0,3
297,-111.0,3.0849989315455684,1.0,5
822,-109.0,4.125372514664019,1.0,7
321,-108.0,2.282306263486975,1.0,5
687,-108.0,4.265764179318992,1.0,6
147,-108.0,5.062682147891891,1.0,1
623,-101.0,2.4715339474765456,1.0,5
275,-100.0,3.5223003458932025,1.0,6
276,-100.0,4.051149186680973,1.0,4
121,-100.0,2.5361464744504953,1.0,3
136,-100.0,4.158073894735666,1.0,2
548,-98.0,4.5922965652082945,1.0,1
664,-97.0,4.044991698930961,1.0,7
707,-96.0,3.7507614670885143,1.0,3
201,-96.0,4.2584501078957935,1.0,6
499,-94.0,4.0111501729466035,1.0,4
652,-93.0,3.146149926380195,1.0,4
301,-93.0,4.460758343914024,1.0,3
733,-92.0,2.9111485291705548,1.0,4
48,-92.0,3.761919858915353,1.0,6
361,-91.0,3.565760891766897,1.0,5
839,-91.0,2.2092313002968775,1.0,5
76,-91.0,4.535372679041625,1.0,1
699,-89.0,2.9338398822083107,1.0,5
654,-89.0,4.861530495546847,1.0,1
108,-89.0,3.4657674668710867,1.0,6
559,-85.0,2.7446121982187384,1.0,7
325,-84.0,3.671529016148403,1.0,2
334,-84.0,2.484223492360652,1.0,5
748,-82.0,2.5292234101718485,1.0,6
41,-81.0,4.033067730575488,1.0,2
62,-77.0,4.625380733544256,1.0,4
302,-77.0,2.919228177122387,1.0,4
290,-76.0,2.7926908599049423,1.0,5
146,-71.0,3.8207576864036064,1.0,5
670,-71.0,3.609995233049462,1.0,3
247,-69.0,4.484989068889283,1.0,2
800,-69.0,3.2330710181275824,1.0,4
806,-68.0,3.8230708537499787,1.0,7
398,-68.0,3.714223985493466,1.0,5
414,-68.0,4.291143269087203,1.0,2
810,-67.0,3.9192281771223865,1.0,1
754,-66.0,3.552305770354159,1.0,4
610,-66.0,4.3492237389270585,1.0,3
42,-65.0,4.343840046585917,1.0,7
715,-65.0,3.901920516425772,1.0,7
614,-65.0,4.1130657580442325,1.0,3
45,-64.0,4.497686832653628,1.0,2
199,-63.0,3.9319177220064914,1.0,3
258,-63.0,4.436910407203079,1.0,3
13,-62.0,3.6203798294674305,1.0,7
608,-61.0,3.9119141056991866,1.0,6
8,-60.0,3.4819185438945155,1.0,6
324,-60.0,4.594992520818985,1.0,2
25,-59.0,3.2023000171379934,1.0,5
59,-59.0,4.168841279417952,1.0,1
310,-58.0,2.8215314818124746,1.0,5
750,-58.0,3.208457504888007,1.0,6
362,-57.0,4.616144501919238,1.0,2
367,-56.0,4.62422414987107,1.0,3
150,-55.0,4.938066990876268,1.0,2
743,-55.0,4.892301496536437,1.0,2
808,-53.0,1.8061459813176794,1.0,5
46,-52.0,4.3619132838111625,1.0,7
114,-52.0,3.5749971233919173,1.0,2
595,-49.0,4.1184494503853735,1.0,3
807,-49.0,2.1346087462890386,1.0,5
794,-49.0,3.5980712646939903,1.0,6
225,-48.0,3.5223003458932025,1.0,5
422,-47.0,3.6699896442109012,1.0,1
403,-44.0,4.174990548287727,1.0,3
380,-41.0,4.83499482210545,1.0,1
803,-39.0,3.3080681415194997,1.0,3
57,-38.0,3.6596132666731696,1.0,6
724,-38.0,3.8296111297643085,1.0,3
819,-38.0,2.5315365775182235,1.0,5
591,-36.0,4.055759083613245,1.0,1
78,-36.0,4.382299688382785,1.0,7
107,-35.0,4.166145323807262,1.0,3
619,-35.0,2.787298948683563,1.0,5
634,-33.0,3.5996106366314944,1.0,3
740,-31.0,2.4107657409062373,1.0,6
704,-31.0,3.803450025706992,1.0,6
529,-31.0,3.9573050306549393,1.0,7
421,-30.0,3.8615304955468472,1.0,4
153,-30.0,3.949990959231739,1.0,4
631,-29.0,4.605377117236953,1.0,7
5,-29.0,4.236141543122353,1.0,2
143,-28.0,4.126911886601523,1.0,5
713,-28.0,2.5461482826041473,1.0,4
681,-25.0,3.867305195032543,1.0,6
204,-20.0,4.740376870670546,1.0,2
102,-19.0,4.729992274252576,1.0,7
708,-19.0,3.4684552036015397,1.0,3
615,-18.0,4.221529838036427,1.0,7
64,-18.0,4.117301085592425,1.0,3
617,-17.0,3.1399924386301823,1.0,5
239,-16.0,5.481527536749962,1.0,2
790,-15.0,1.9226897092617103,1.0,6
665,-14.0,4.2715306599244505,1.0,7
555,-14.0,2.6315382212942686,1.0,6
682,-10.0,4.2715306599244505,1.0,3
294,-10.0,3.4726823122694968,1.0,7
540,-7.0,2.91999375365102,1.0,3
728,-6.0,3.306536988462233,1.0,6
433,-6.0,4.514220697941371,1.0,1
709,-6.0,3.811529673658823,1.0,4
644,-5.0,4.631147214149716,1.0,1
63,-5.0,2.008845224480467,1.0,5
705,-3.0,2.600384432040363,1.0,6
788,-1.0,3.8303767062929417,1.0,4
640,0.0,2.8446138419947857,1.0,6
561,0.0,3.2192248895702917,1.0,6
669,2.0,2.685375144705696,1.0,5
91,2.0,3.818843745082024,1.0,5
721,3.0,3.7253741584400664,1.0,6
802,3.0,3.1161445019192375,1.0,1
827,5.0,3.4407629464869562,1.0,2
645,6.0,3.2922998527603893,1.0,4
368,7.0,4.855755796061151,1.0,1
780,10.0,4.469611787274726,1.0,1
51,11.0,4.987302236235658,1.0,1
510,12.0,3.7588411150403465,1.0,6
606,12.0,2.60461154070832,1.0,5
87,12.0,3.3023016609140403,1.0,6
518,13.0,2.9492253827031054,1.0,3
824,14.0,3.443458902097647,1.0,2
413,14.0,5.018838813753881,1.0,7
435,15.0,3.879994739916648,1.0,3
816,15.0,4.103072168770816,1.0,2
739,15.0,2.8430744700572834,1.0,4
170,16.0,2.9992262045911295,1.0,6
602,16.0,4.526918461705714,1.0,2
589,16.0,2.8976851888775794,1.0,5
377,17.0,3.0034533132590866,1.0,7
673,18.0,4.216146145695285,1.0,6
508,18.0,2.9788398000195087,1.0,7
649,20.0,4.265381391054676,1.0,2
378,20.0,3.777688147674465,1.0,6
787,21.0,3.6561517345338457,1.0,3
366,22.0,3.5384514229166304,1.0,6
395,22.0,4.431917722006491,1.0,2
196,24.0,3.721920845180982,1.0,6
405,24.0,4.101150008568997,1.0,6
776,25.0,2.718842101305976,1.0,7
198,28.0,4.4546090750442495,1.0,1
774,29.0,3.8157650012070157,1.0,1
369,29.0,2.4757610561445023,1.0,6
363,31.0,2.9376842026119503,1.0,5
23,32.0,4.353068059330697,1.0,7
763,32.0,2.3011532961210936,1.0,5
749,34.0,4.49922620459113,1.0,1
775,35.0,5.1480720865820135,1.0,1
729,35.0,2.346918790460923,1.0,6
351,36.0,3.0607599876900706,1.0,6
666,38.0,3.45076475464061,1.0,6
820,40.0,2.4330743056796775,1.0,5
815,44.0,4.5296061984361655,1.0,1
441,44.0,3.761911640035115,1.0,3
487,44.0,2.1415318105676846,1.0,5
124,45.0,5.3911449128632505,1.0,1
396,45.0,3.622684777933568,1.0,2
817,45.0,3.353068059330697,1.0,2
635,46.0,3.9580706071835707,1.0,4
799,46.0,3.8269151741536183,1.0,2
625,46.0,2.276148775736961,1.0,6
516,46.0,4.079224232059873,1.0,2
834,46.0,2.4499991781119768,1.0,5
828,46.0,2.481918543894515,1.0,5
432,48.0,3.951147542904925,1.0,1
364,48.0,2.9069214205026004,1.0,5
735,49.0,4.624989726399703,1.0,2
348,49.0,4.011532961210919,1.0,1
110,50.0,3.6907670559270747,1.0,7
592,51.0,3.79115148796744,1.0,2
459,52.0,4.084990712665331,1.0,3
460,52.0,3.894997452147127,1.0,6
140,53.0,4.668841279417952,1.0,7
622,53.0,2.9423023184244603,1.0,6
638,55.0,2.9319177220064914,1.0,7
322,55.0,3.15307299065884,1.0,4
779,56.0,2.830767713437495,1.0,5
101,57.0,3.5942269442903516,1.0,4
789,57.0,3.320765905283843,1.0,7
835,57.0,3.234227601800771,1.0,7
476,57.0,3.500374569384078,1.0,7
784,57.0,4.368453559825492,1.0,7
668,58.0,3.8222970583411073,1.0,6
531,59.0,4.472299524005179,1.0,1
605,61.0,2.873454463902318,1.0,3
72,62.0,3.3549984384127565,1.0,4
457,65.0,3.466915831664038,1.0,2
494,65.0,1.6288422656835801,1.0,4
553,66.0,3.682304619710928,1.0,3
360,67.0,3.401912297545535,1.0,6
805,67.0,3.367296976152306,1.0,4
823,68.0,3.659605047792932,1.0,3
785,69.0,2.9469204342369704,1.0,4
597,70.0,3.6007672203046805,1.0,7
191,72.0,5.23537596659372,1.0,7
274,73.0,4.5638387315650775,1.0,1
517,73.0,2.5019139413215825,1.0,4
684,73.0,4.691532632455709,1.0,1
782,74.0,4.706909914070265,1.0,1
452,74.0,3.269608499722631,1.0,3
730,75.0,4.276914352265594,1.0,7
811,75.0,3.098836841222623,1.0,4
223,77.0,2.8349948221054495,1.0,5
